리뷰일,앱이름,별점,사용자 리뷰,회사 응답
2025-10-15,뱅크샐러드,5.0,5년 넘게 제 가계부로 잘 쓰고 있습니다. 항상 잘 쓰고 있습니다. 추가 되었으면 하는 기능들이 있어서 리뷰 남깁니다 1. 카카오톡 데이터 이동처럼 휴대폰 변경할때 데이터 이동할 수 있는 기능 2. 삭제한 가계부 내역을 휴지통 같은곳에 한달정도 넣어뒀다가 복구하는 기능 감사합니다🙇,"안녕하세요, 뱅크샐러드 고객감동팀입니다. 아직 문제가 해결되지 않아 많이 답답하셨을 것 같습니다. 현재 원인을 파악하는 작업을 진행하였고, 해결을 위해 힘쓰고 있습니다. 7월 둘째 주경에 업데이트 부탁드리며, 혹시 그 이후에도 동일한 오류가 재현될 경우에는 번거로우시겠지만 [전체(☰) - 고객센터]로 연락 부탁드립니다. 이용에 불편을 드려 다시 한 번 죄송합니다. 더 편하게 뱅크샐러드를 이용하실 수 있도록 더 고민하고 개선해나가겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,1.0,"업데이트 후 메모•태그 입력하는데 오래걸리고, 자주 오류나서 불편합니다. 메모 기능 잘 쓰고 있었는데, 너무 느려서 어플 삭제하고 싶어요.",0
2025-10-15,뱅크샐러드,5.0,빗썸도 가상자산 연결할수있게해주세요,0
2025-10-15,뱅크샐러드,1.0,업데이트후 계속 꺼짐 실행시키면 계속 꺼집니다 인터넷이 원활하지 않다는 메세지도 가끔뜨고 폰 운영체제가 하이퍼os인데 상관있을란가요,0
2025-10-15,뱅크샐러드,1.0,업데이트 후 계속 버벅이고 오류나요.,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 이용해 주시고, 리뷰 남겨 주셔서 감사합니다. 업데이트 후 뱅크샐러드 이용이 원활하지 않아 많이 불편하실 것 같습니다. 겪고 계신 상황에 대한 자세한 설명과 함께 [전체(☰) - 고객센터]로 연락 남겨주실 수 있을까요? 어려움을 겪고 계신 화면을 캡처하여 함께 보내주신다면 원인 파악에 큰 도움이 될 것 같습니다. 보내주신 정보들은 문제 해결에만 사용되며, 해결 후 안전하게 파기됩니다. 뱅크샐러드를 편리하게 이용하실 수 있도록 꼭 도와드리고 싶습니다. 소중한 연락을 기다리겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,4.0,국민연금 납부액과 예상수령액도 연동되게해주세요,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드에 국민연금을 연결해 납부액과 예상수령액을 관리하고 싶으신 상황이시군요. 아쉽게도 국민연금의 경우, 현재 연결이 어렵습니다. 지금은 연결이 예정되어 있지 않으나, 추후 연결 계획에 포함될 수 있도록 노력하겠습니다. 지금으로서는 [자산 - 상단(톱니바퀴) - 자산 연결 - 수기입력 - 계좌 - 상품 정보 입력(계좌종류 : 적금 / 별칭 : 연금) - 이후 뱅크샐러드 하단 가계부 &gt; 내역 상단 '+추가' 클릭] 을 통해 수동 관리해주시길 부탁드려야 할 것 같습니다. 추가적인 도움 필요하시면 앱 내 [전체(☰) - 고객센터]로 말씀 남겨주세요. 감사합니다."
2025-10-15,뱅크샐러드,4.0,"너무너무 잘쓰고 있었는데 코나아이, 투자 부분에 대한 관리가 굉장히 미흡합니다 코나아이 연결의 경우 충전금액과 인센티브 중 충전금액만 뱅샐에 잡힙니다. 투자는 증권사로 돈을 입금시켜도 뱅샐에 입금액이 안잡히고, 코인의 경우 수기로 관리해줘야합니다. 그래도 코인은 시세가 자동 업데이트 되어서 손익 파악이 가능한데 금현물 계좌는 아무것도 안되네요. 실물자산으로만 수기 입력이 가능한데 이러면 투자에 포함도 안되어 포트폴리오 관리가 안되고 손익도 전혀 파악이 안됩니다. 3년 넘게 잘쓰고 있었는데 투자 시작하고 맘에 안드는 부분이 자꾸 나오네요. 개선 좀 해주시면 좋겠습니다.","안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 애정하시고, 소중한 의견 전달해 주셔서 진심으로 감사드립니다. 말씀해 주신 것처럼 코나아이의 인센티브 금액 연동, 증권사 및 코인 자산 연동, 금현물 계좌 연동 등이 가능하다면 자산 관리가 훨씬 편리할 것 같습니다. 지금 당장 반영하기는 어렵지만, 꾸준히 고민하고 노력하여 더 나은 서비스를 이용하실 수 있도록 노력하겠습니다. 뱅크샐러드는 “고객에게 답이 있다.”라는 가치를 가장 우선시하며 서비스를 만들어 가고 있습니다. 추가적인 건의사항 있으시면 언제든 앱 내 [전체(☰) - 고객센터]로 말씀해 주세요. 감사합니다."
2025-10-15,뱅크샐러드,4.0,취소 내역이 섞여 있으면 가계부가 뭔가 미묘하게 맞지 않는 것 같습니다 음...,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 이용해 주시고, 리뷰 남겨 주셔서 감사합니다. 현재 뱅크샐러드에서 결제취소를 하는 경우, 지출 금액에 해당하는 금액이 + 금액으로 가계부에 조회됩니다. 만약, 결제취소 내역을 제외하고 지출 내역을 관리하고 싶으신 경우, 해당 내역을 삭제 처리하시거나 [이체]로 변경하여 관리하실 수 있다는 점 참고차 함께 안내드립니다. 추가적으로 궁금하신 점이 있다면 관련 설명과 함께 [전체(☰) - 고객센터]로 연락 남겨주실 수 있을까요? 뱅크샐러드를 편리하게 이용하실 수 있도록 꼭 도와드리고 싶습니다. 소중한 연락을 기다리겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,4.0,최근 로그인 한 지 얼마 지나지 않았는데도 장시간 이용이 없어서 로그아웃 되었다고 뜹니다.,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 이용해 주시고, 리뷰 남겨 주셔서 감사합니다. 로그인을 최근에 진행했음에도 '장시간 이용이 없다며 로그아웃'이 되고 있는 상황이시군요! 뱅크샐러드 이용이 원활하지 않아 많이 불편하실 것 같습니다. 겪고 계신 상황에 대한 자세한 설명과 함께 [전체(☰) - 고객센터]로 연락 남겨주실 수 있을까요? 어려움을 겪고 계신 화면을 캡처하여 함께 보내주신다면 원인 파악에 큰 도움이 될 것 같습니다. 뱅크샐러드를 편리하게 이용하실 수 있도록 꼭 도와드리고 싶습니다. 소중한 연락을 기다리겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,3.0,"업데이트 후 날짜 변경시 캘린더뷰가 아니라서 너무 답답합니다... 캘린더앱을 보러가거나, 다른 결제 내역의 날짜를 확인하러 다시 뒤로갔다가 돌아오려니 죽을 맛이에요; 다른 uiux 개선들은 장단이 있어 적응해보고자 하는데 이부분은 롤백 검토 부탁드립니다 결제수단 선택도 즐겨찾기를 만들어주시면 무한 스크롤에서 벗어날 수 있을 것 같네요","안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 이용해 주시고, 리뷰 남겨 주셔서 감사드립니다. 더 나은 뱅크샐러드를 위해 소중한 의견 남겨주셔서 감사합니다. 지금 당장 반영하기는 어려우나 남겨주신 의견들을 참고해서, 더 편리한 뱅크샐러드를 만들어나갈 수 있도록 고민하고 개선해나가겠습니다. 이용 중 추가로 궁금하신 점이나, 전해 주실 의견이 있으시다면 언제든 앱 내 [전체(☰) - 고객센터]로 연락 부탁드립니다! 감사합니다."
