리뷰일,앱이름,별점,사용자 리뷰,회사 응답
2025-10-01,토스,1.0,얼굴결제 쓰기 싫어요. 요즘 보안상 민감한데 이런시기에 굳이.,"안녕하세요. 지훈 님, 토스팀입니다. 만족스러운 서비스를 제공하기 위해 노력하였으나, 이용에 불편을 드린 것 같아 마음이 무겁습니다. 불편 느끼신 부분은 담당부서로 전달 드릴 예정이오며, 보다 만족스러운 서비스 제공할 수 있도록 노력하겠습니다. 다른 문의사항 있으실 경우 24시간 운영되는 카카오톡(@toss) 또는 토스 고객센터 1599-4905로 문의 부탁드립니다. 감사합니다."
2025-10-01,토스,1.0,신분증 촬영 모듈 좀 바꿔주세요... 신분증 인식이 안되서 몇십분 소비합니다. . 빛번짐. 초점. 별안간 다 해소해도 무슨 조금만 손떨림 있어도 인식을 못해서 할수가없어요,"안녕하세요. 전준환님, 토스팀입니다. 만족스러운 서비스를 제공하기 위해 노력하였으나, 이용에 불편을 드린 것 같아 마음이 무겁습니다. 불편 느끼신 부분은 담당부서로 전달 드릴 예정이오며, 보다 만족스러운 서비스 제공할 수 있도록 노력하겠습니다. 다른 문의사항 있으실 경우 24시간 운영되는 카카오톡(@toss) 또는 토스 고객센터 1599-4905로 문의 부탁드립니다. 감사합니다."
2025-10-01,토스,1.0,비번이 틀리다고 해서 못들어 갔는데 어찌해야죠,"안녕하세요. 이상준 님, 토스팀입니다. 비밀번호가 누적으로 5회 이상 오입력이 된 경우, 금융사고 예방을 위해 앱이 로그아웃됩니다. 이 때, 앱에서 계좌로 본인 인증을 진행해 주시면 새로운 비밀번호로 재설정이 가능합니다. 진행이 어려우시다면, 고객센터를 통해 신분증(학생은 학생증, 청소년증 등) 비대면 인증으로 비밀번호 초기화로 도움드릴 수 있습니다. 만약 만 14세 미만 고객님일 경우, 가입 시 인증을 진행해 주신 법정대리인(보호자)의 동의 과정이 필요하므로 법정 대리인(보호자)과 함께 있을 때 24시간 운영되는 토스 고객센터 1599-4905 또는 카카오톡 @toss로 연락 부탁드립니다. 감사합니다."
2025-10-01,토스,1.0,작동이중간에멍춤,"안녕하세요. Young Cho 님, 토스팀입니다. 우선 원활한 이용에 불편을 드려 죄송합니다. 토스 앱 사용이 원활하지 않으시다면 아래의 경로로 캐시 삭제 및 휴대폰 재부팅 부탁드립니다. 1. [Android 설정 &gt; 애플리케이션 &gt; 토스 &gt; 저장공간 &gt; 캐시 삭제] 2. [Android 설정 &gt; 애플리케이션 &gt; Android System WebView &gt; 저장 공간 &gt; 캐시 삭제] 위 안내드린 두가지 방법으로 진행 이후 휴대전화 단말기를 재부팅하신후에도 지속 동일하게 이용이 어려우시다면 정확한 확인을 위해 24시간 운영되는 토스고객센터 1599-4905 혹은 카카오톡(@toss) 로 문의 부탁 드립니다. 감사합니다."
2025-10-01,토스,1.0,진짜 리뷰 처음 써보는데 이게 맞는지 모르겠습니다 버그 다 잡았다면서 업데이트 돌리더만 업데이트 버튼을 눌러도 앱 업데이트는 무슨 아무것도 안바뀌면서 계속 어플은 업데이트만 하라고 하지 꾹 참고 지웠다가 다시 깔아보니깐 뭔 UI가 현재 돈이 얼마있는지도 안보여주고 글씨도 작게 만들어두고 이게 뭔 가시성 개똥을 만드셨습니까 이거를 통과시킨 담당자분 생각이 궁금하네요,"안녕하세요. DH K 님, 토스팀입니다. 만족스러운 서비스를 제공하기 위해 노력하였으나, 이용에 불편을 드린 것 같아 마음이 무겁습니다. 불편 느끼신 부분은 담당부서로 전달 드릴 예정이오며, 보다 만족스러운 서비스 제공할 수 있도록 노력하겠습니다. 다른 문의사항 있으실 경우 24시간 운영되는 카카오톡(@toss) 또는 토스 고객센터 1599-4905로 문의 부탁드립니다. 감사합니다."
2025-10-01,토스,3.0,교통카드 충전하려는데 왜 자꾸 카드를 인식할수 없다는지 계속 뜨고 가만히 있어도 오류가 뜨냐,"안녕하세요. 송민건 님, 토스팀입니다. 만족스러운 서비스를 제공하기 위해 노력하였으나, 이용에 불편을 드린 것 같아 마음이 무겁습니다. 불편 느끼신 부분은 담당부서로 전달 드릴 예정이오며, 보다 만족스러운 서비스 제공할 수 있도록 노력하겠습니다. 다른 문의사항 있으실 경우 24시간 운영되는 카카오톡(@toss) 또는 토스 고객센터 1599-4905로 문의 부탁드립니다. 감사합니다."
2025-10-01,토스,1.0,업데이트하고 티머니 결제가 안되네 대체 뭘 쳐 한거야?,"안녕하세요. 척추의희생 님, 토스팀입니다. 먼저 서비스 이용에 불편을 드렸다면 대단히 죄송합니다. 다만 현재 문의주신 내용으로는 어떠한 어려움을 겪고 계신지 확인이 어려워 번거로우시겠지만 24시간 운영되는 카카오톡(@toss) 또는 토스 고객센터 1599-4905로 문의 부탁드립니다. 일부 안내의 경우 리뷰를 통한 즉각적인 안내가 어려울 수 있는 점 양해 부탁 드립니다. 감사합니다."
2025-10-01,토스,1.0,업데이트 하라면서 정작 업데이트하러 구글들어가면 업데이트 안되는 이유가 뭔가요?? 토스 해킹당했나요?? 업데이트 하라면서 로그인도 안되고 업데이트도 안되고,"안녕하세요. potato BK 님, 토스팀입니다. 기기에 캐시 및 데이터가 많아 앱 설치/업데이트가 원활하지 않을 수 있습니다. 다음 방법을 시도해주시면 감사하겠습니다. [휴대폰 기기 내 설정 - 애플리케이션 - Google Play스토어 - 저장공간 - 캐시 및 데이터 삭제]. 캐시 및 데이터 삭제 후에도 설치/업데이트가 진행되지 않는다면 구글 플레이스토어 고객센터로 문의 부탁 드립니다. 토스 서비스 관련하여 자세한 상담이 필요하다면 24시간 운영되는 카카오톡(@toss) 또는 고객센터(1599-4905)로 문의 부탁 드립니다. 감사합니다."
2025-10-01,토스,1.0,갤럭시23울트라와 프로그램 오류 및 충돌이 자주 발생합니다. 조치 좀 빨리 해 주세요.,"안녕하세요. 도환석 님, 토스팀입니다. 우선 원활한 이용에 불편을 드려 죄송합니다. 토스 앱 사용이 원활하지 않으시다면 아래의 경로로 캐시 삭제 및 휴대폰 재부팅 부탁드립니다. 1. [Android 설정 &gt; 애플리케이션 &gt; 토스 &gt; 저장공간 &gt; 캐시 삭제] 2. [Android 설정 &gt; 애플리케이션 &gt; Android System WebView &gt; 저장 공간 &gt; 캐시 삭제] 위 안내드린 두가지 방법으로 진행 이후 휴대전화 단말기를 재부팅하신후에도 지속 동일하게 이용이 어려우시다면 정확한 확인을 위해 24시간 운영되는 토스고객센터 1599-4905 혹은 카카오톡(@toss) 로 문의 부탁 드립니다. 감사합니다."
2025-10-01,토스,1.0,토스앱은좋았으나 제가이번에폰을바꿔서 뭘잘못설정했나하고들어와봤는데 광고쟁이로 업데이트가된거였네요 만보기 복권긁을때 광고떠서 완전짜증납니다 이제토스 안하고싶네요. 광고에서벗어나고싶습니다 제발 동의를얻고좀!!!!!!!!,"안녕하세요. 크롱크롱 님, 토스팀입니다. 먼저 서비스 이용에 불편을 드렸다면 대단히 죄송합니다. 광고의 경우 토스와 제휴 된 다양한 제휴사를 통해 서비스를 제공해 드리고 있는 특성 상 앱 내 일부 공간에서 광고가 노출될 수 있습니다. 송금/결제/혜택 등을 무료로 제공해드리고 있는 만큼, 보다 많은 고객님들께 지속 가능한 서비스 제공을 위해 시행되는 내용인 점 너그럽게 양해 부탁 드립니다. 말씀 주신 소중한 의견 결코 흘려 듣지 않고 내부적으로 공유하여 향후 서비스 운영에 충분히 참고할 수 있도록 하겠습니다. 감사합니다."
