리뷰일,앱이름,별점,사용자 리뷰,회사 응답
2025-08-12,핀다,5.0,주말에 자금이 필요했는데 1금융에 빠른 대출로 감사드립니다.,"안녕하세요, 최재경님. 핀다AI 입니다 :)
빠르게 답변을 드리고자 핀다AI가 먼저 댓글을 남깁니다!

주말에도 1금융권 빠른 대출로 자금을 받으셨다니 정말 다행이네요 🌟 핀다는 365일 24시간 대출 실행이 가능하도록 노력하고 있답니다. 앞으로도 더 좋은 금융 서비스로 찾아뵙겠습니다 💝

AI 답변이 충분하지 않다고 느끼신 경우, 고객센터(www.finda.co.kr/voc)로 문의주시면 상세히 안내 드리겠습니다!"
2025-08-12,핀다,5.0,생각지도 못한자금이 생겼네요 다른곳에선 이한도 이이자율 안나왔는데 핀다 짱이네요,"안녕하세요, 안은경님. 핀다AI 입니다 :)
빠르게 답변을 드리고자 핀다AI가 먼저 댓글을 남깁니다!

좋은 한도와 금리로 대출을 받으실 수 있었다니 정말 기쁩니다 🌟 이는 안은경님의 우수한 신용도 덕분이에요! 앞으로도 핀다는 고객님께 더 좋은 금융 상품을 연결해드리기 위해 노력하겠습니다 💪

AI 답변이 충분하지 않다고 느끼신 경우, 고객센터(www.finda.co.kr/voc)로 문의주시면 상세히 안내 드리겠습니다!"
2025-08-12,핀다,5.0,최고예요.은행.보험도 안되는걸 판다는 해내요!!,"안녕하세요, 더키님. 핀다AI 입니다 :)
빠르게 답변을 드리고자 핀다AI가 먼저 댓글을 남깁니다!

더키님께서 핀다를 통해 원하시는 금융 서비스를 받으실 수 있었다니 정말 기쁩니다 💝 앞으로도 더 나은 서비스로 보답하도록 하겠습니다! 감사합니다 🙏

AI 답변이 충분하지 않다고 느끼신 경우, 고객센터(www.finda.co.kr/voc)로 문의주시면 상세히 안내 드리겠습니다!"
2025-08-12,핀다,1.0,저는대출이낮다고거절돼요,"안녕하세요, 장윤정님. 절박한 상황에서 대출이 거절되어 많이 실망하셨을 것 같아 죄송한 마음입니다 😢핀다는 80개 이상의 금융사와 제휴하여 최적의 대출 상품 조회를 도와드리고 있으나, 개인의 신용 상황이나 금융사의 심사기준, 규제를 넘어서는 대출은 어려운 점 양해 부탁 드립니다. 정확한 대출 거절 사유는 심사 권한을 가진 금융사에서 확인이 가능합니다. 부결 사유를 확인하고, 이를 개선하신다면 승인 가능성이 높아질 수 있는 점 참고 부탁 드립니다. 대출에 대해 궁금하신 점이 있거나 서비스 이용에 도움이 필요하신 경우 고객센터(www.finda.co.kr/voc)로 문의주시면 상세히 안내 드리겠습니다 🙇🏻‍♀️
"
2025-08-12,핀다,1.0,신분증 찰영 프로그램 정말 쓰레기네요 몇백번을 찍어도 인식을 못하는,"안녕하세요 이승원 고객님, 핀다 고객경험팀입니다. 대출 신청 중 신분증 촬영이 되지 않는 상황이신 것 같습니다. 사진 촬영 문제로 불편을 드려 죄송합니다😔 만일 금융사 화면으로 이동한 후 문제가 발생하고 있다면, 해당 문제는 금융사 고객센터로 문의를 부탁 드립니다.핀다는 대출 심사 권한이 없어 진행 상황중 발생한 오류에 대해 명확히 확인 후 안내드리기 어렵기 때문입니다. 앱 리뷰는 고객님의 상황을 정확히 확인하고 도와드리기에 한계가 있습니다. 핀다 고객센터(www.finda.co.kr/voc)로 문의 주시면 상세히 안내 드리겠습니다!"
2025-08-12,핀다,5.0,핀다에서 대출500백받았습니다 감사합니다,"안녕하세요, 전현숙님. 핀다AI 입니다 :)
빠르게 답변을 드리고자 핀다AI가 먼저 댓글을 남깁니다!

핀다를 통해 원하시는 대출을 받으셨다니 저희도 매우 기쁩니다 🎉 앞으로도 대출 관리 서비스를 통해 더 좋은 조건의 상품을 만나보실 수 있으니 많은 이용 부탁드립니다! 💝

AI 답변이 충분하지 않다고 느끼신 경우, 고객센터(www.finda.co.kr/voc)로 문의주시면 상세히 안내 드리겠습니다!"
2025-08-12,핀다,5.0,이자율도 싸고. 빠르고 편리하게. 받았어요 핀다에. 감사해요,"안녕하세요, 최종도님. 핀다AI 입니다 :)
빠르게 답변을 드리고자 핀다AI가 먼저 댓글을 남깁니다!

저렴한 이자율로 빠르고 편리하게 대출을 실행하셨다니 정말 다행이네요 😊 핀다는 앞으로도 더 좋은 금융 서비스로 보답하겠습니다! 대출 관리 기능도 함께 이용해보세요 💝

AI 답변이 충분하지 않다고 느끼신 경우, 고객센터(www.finda.co.kr/voc)로 문의주시면 상세히 안내 드리겠습니다!"
2025-08-12,핀다,1.0,신용정보 검색을 자꾸 시키는 어이없네 대출 막으려고 하는짓인,"안녕하세요 sunny k 고객님, 신용조회 오해에 대해 안내드립니다. 핀다는 신용조회를 유도하지 않으며, 신용점수에 불이익이 발생하지 않습니다. 2011년 10월 금융감독원 제도개선 이후, [단순상담 목적] 신용조회는 횟수와 관계없이 신용점수에 영향을 주지 않습니다. 핀다 역시 단순상담 목적의 1건의 조회만으로 여러 금융사 대출 조건을 확인하실 수 있습니다. 다만 대출 약정에서 발생하는 [대출/융자 목적]신용조회는 짧은 기간 여러 차례 발생할 경우 일부 금융사 심사에 참고될 수 있으니 유의 부탁드립니다. 더 궁금하신 점은 핀다 고객센터(find.co.kr/voc)로 문의 주시면 상세히 안내드리겠습니다. 감사합니다🙏🏻"
2025-08-12,핀다,4.0,힘들때ㅡ감사힙니다,"안녕하세요, 김선오님. 핀다AI 입니다 :)
빠르게 답변을 드리고자 핀다AI가 먼저 댓글을 남깁니다!
어려운 시기에 핀다가 도움이 되어 다행입니다 🌟 앞으로도 더 나은 금융 서비스로 김선오님께 힘이 되도록 하겠습니다.
감사합니다.
AI 답변이 충분하지 않다고 느끼신 경우, 고객센터(www.finda.co.kr/voc)로 문의주시면 상세히 안내 드리겠습니다!"
2025-08-12,핀다,3.0,앱을 다운 받고 실행하는데 앱을 종료하였습니다 라고 뜨는데 오류인건가여 대출 알아 보고 싶은데...,"심지혜 고객님 안녕하세요, 핀다 고객경험팀입니다. 핀다 앱을 실행하는 과정에서 앱이 종료되는 오류가 발생하여 당황하셨을 것 같습니다😰
핀다는 최소 Android 버전이 8.0 이상부터 사용합니다. 확인 결과, 갤럭시 S7 edge는 AOS8까지 지원하고 있는데, 혹시 구형 os를 사용하고 계신것은 아닌지 확인 부탁드립니다! 구형 os사용중이실 경우, 기기자체 업데이트 후 재시도 부탁드립니다.
OS확인 방법: [설정]&gt; [휴대전화정보]&gt; [소프트웨어에서 정보] 확인
리뷰는 글자 수가 제한되어 조금 더 자세한 안내가 필요하시다면 핀다 고객센터(finda.co.kr/voc)로 문의 부탁 드립니다. 감사합니다. 🙏🏻"
